address_street	address_locality	address_region	address_code	date_sold	mortgage	info_type	info_bedrooms	info_bathrooms	info_size	info_lot_size	info_year_built	info_est_value	info_sold_price	info_property_id	info_county	info_parcel_number	taxes_land	taxes_improvements	taxes_total	taxes_taxes	school	total_crime	violent_crime	property_crime	foreclosures
27505 Tampa Ave Apt 16	Hayward	CA	94544	08/30/2019	1674.0	Condominium	2.0	1.5	910.0		1981		368500.0	1100083073	Alameda County, CA	453 007005300	35571.0	85695.0	121266.0	1748 (1.44 %)	3	123	84	213	4
1925 E 24th St	Oakland	CA	94606	03/11/1999	248.0	Single Family Residence	1.0	5.0	440.0	4900.0	1910		54500.0	1100077722	Alameda County, CA	022 032502100	21612.0	52003.0	73615.0	1587 (2.15 %)	3	308	307	310	4
7107 Holly St	Oakland	CA	94621	08/30/2019	2271.0	Single Family Residence	2.0	1.0	1000.0	4851.0	1922		500000.0	1100076000	Alameda County, CA	039 330801100	25884.0	50539.0	76423.0	1741 (2.27 %)	3	308	307	310	4
20009 Santa Maria Ave	Castro Valley	CA	94546	08/30/2019	2907.0	Single Family Residence	3.0	2.0	1218.0	5035.0	1957		640000.0	1100068954	Alameda County, CA	084A010400505	79270.0	184965.0	264235.0	3776 (1.42 %)	3	123	79	226	4
22072 Thelma St	Hayward	CA	94541	08/30/2019	2953.0	Single Family Residence	3.0	1.0	1040.0	5100.0	1950		650000.0	1100136465	Alameda County, CA	432 002804000	61114.0	34439.0	95553.0	1726 (1.80 %)	3	123	84	213	4
496 Capistrano Dr	Oakland	CA	94603	08/30/2019	1683.0	Single Family Residence	2.0	1.0	973.0	4000.0	1945		370500.0	1100068999	Alameda County, CA	045 538902500	15421.0	25562.0	40983.0	1582 (3.86 %)	3	308	307	310	4
24333 Tilden Way	Hayward	CA	94545	05/04/2004	2675.0	Single Family Residence	3.0	1.5	1293.0	5096.0	1951	589000.0		1100221714	Alameda County, CA	442 000508500	20211.0	54991.0	75202.0	1161 (1.54 %)	3	123	84	213	4
513 Olive Ct	San Leandro	CA	94578	08/30/2019	2839.0	Single Family Residence	3.0	1.0	1014.0	6640.0	1950		625000.0	1100091917	Alameda County, CA	080D056400700	63661.0	148544.0	212205.0	2939 (1.38 %)	0	123	79	226	0
70 Regency Pl	Hayward	CA	94544	08/30/2019	3452.0	Single Family Residence	3.0	2.5	1891.0	1592.0	2015		760000.0	1100092766	Alameda County, CA	444 008002900	214462.0	500481.0	714943.0	8671 (1.21 %)	3	123	84	213	4
4411 Shearwater Ct	Pleasanton	CA	94566	08/30/2019	5769.0	Single Family Residence	4.0	2.0	1808.0	11500.0	1971		1270000.0	1100068036	Alameda County, CA	946 331700400	125041.0	291763.0	416804.0	4831 (1.15 %)	0	33	19	65	0
1547 92nd Ave	Oakland	CA	94603	08/30/2019	3157.0	Single Family Residence	5.0	2.0	2426.0	5500.0	1895		695000.0	1100069827	Alameda County, CA	046 543200300	147720.0	344681.0	492401.0	7726 (1.56 %)	3	308	307	310	4
1448 63rd St	Emeryville	CA	94608	09/03/2019	33159.0	Public School (administration, campus, dorms, instruction)		9.5	9289.0	7000.0	1951		7300000.0	1100192710	Alameda County, CA	049 148200300	1035550.0	1548365.0	2583915.0	31635 (1.22 %)	3	316	212	561	4
4077 Ardo St	Fremont	CA	94536	02/29/1972	4951.0	Single Family Residence	4.0	2.5	1877.0	6220.0	1971	1090000.0		1100215786	Alameda County, CA	543 039608000	19906.0	68679.0	88585.0	1543 (1.74 %)	3	59	40	103	4
1321 Webster St Apt D302	Alameda	CA	94501	08/30/2019	749.0	Condominium	2.0	2.0	1007.0	0.81	1970		165000.0	1100083053	Alameda County, CA	074 132820900	74512.0	173862.0	248374.0	3918 (1.57 %)	3	66	37	135	4
990 Adason Dr	San Leandro	CA	94578	08/30/2019	2453.0	Single Family Residence	2.0	1.0	1059.0	5335.0	1946		540000.0	1100141661	Alameda County, CA	077D148500200	144300.0	336700.0	481000.0	6321 (1.31 %)	3	123	79	226	4
2580 Bancroft Way	Berkeley	CA	94704	07/08/2015	84033.0	Store, Retail Outlet			26082.0	0.65	1963		18500000.0	1100185166	Alameda County, CA	055 187701902	15442800.0	3427200.0	18870000.0	275948 (1.46 %)	3	125	94	197	4
26683 Luvena Dr	Hayward	CA	94544	08/30/2019	2635.0	Single Family Residence	3.0	1.0	951.0	4620.0	1950		580000.0	1100072476	Alameda County, CA	452 003603502	25350.0	24928.0	50278.0	3166 (6.29 %)	3	123	84	213	4
19261 Corey Way	Castro Valley	CA	94546	08/30/2019	3339.0	Single Family Residence	2.0	1.0	860.0	6678.0	1949		735000.0	1100119881	Alameda County, CA	084C078500600	180000.0	420000.0	600000.0	7268 (1.21 %)	0	123	79	226	0
