address_street	address_locality	address_region	address_code	date_sold	mortgage	info_type	info_bedrooms	info_bathrooms	info_size	info_lot_size	info_year_built	info_sold_price	info_property_id	info_county	info_parcel_number	taxes_land	taxes_improvements	taxes_total	taxes_taxes	school	total_crime	violent_crime	property_crime	foreclosures	year_sold
243 Gallery Way	Tustin	CA	92782	11/07/2019	2557.0	Condominium	3.0	3.0	1286.0		1990.0	563000.0	1101844825	Orange County, CA	93428086	229602.0	116719.0	346321.0	4072 (1.17 %)	3	66.0	54.0	94.0	4	2019
38 Hallcrest Dr	Mission Viejo	CA	92694	11/07/2019	6586.0	Single Family Residence	4.0	5.0	3872.0	6228.0	2004.0	1450000.0	1101936443	Orange County, CA	74107340	649037.0	665353.0	1314390.0	19143 (1.45 %)	3	29.0	25.0	39.0	4	2019
831 S Dickel St	Anaheim	CA	92805	11/07/2019	2544.0	Single Family Residence	2.0	2.0	1306.0	7477.0	1957.0	560000.0	1101841958	Orange County, CA	3628213	23796.0	36606.0	60402.0	1032 (1.70 %)	3	88.0	71.0	127.0	4	2019
152 Compass	Irvine	CA	92618	11/07/2019	4576.0	Condominium	4.0	3.0	2434.0		2014.0	1007500.0	1101780036	Orange County, CA	93217650	561004.0	366236.0	927240.0	15749 (1.69 %)	3	30.0	22.0	48.0	4	2019
6242 E Via Ribazo	Anaheim	CA	92807	11/07/2019	2975.0	Single Family Residence	4.0	3.0	2259.0	9000.0	1977.0	655000.0	1101744979	Orange County, CA	35824415	415182.0	167797.0	582979.0	6453 (1.10 %)	3	88.0	71.0	127.0	4	2019
14111 Hammon Pl	Westminster	CA	92683	11/07/2019	2176.0	Single Family Residence	2.0	1.0	896.0	5400.0	1929.0	479000.0	1101724679	Orange County, CA	19516217	145575.0	31095.0	176670.0	618 (0.35 %)	3	97.0	79.0	140.0	4	2019
2510 Burly Ave	Orange	CA	92869	11/07/2019	3643.0	Single Family Residence	4.0	2.0	2170.0	8700.0	1963.0	802000.0	1101870628	Orange County, CA	9462101	488454.0	136326.0	624780.0	6897 (1.10 %)	3	55.0	41.0	85.0	4	2019
1 Fern Haven Farm	Mission Viejo	CA	92694	11/07/2019	2998.0	Single Family Residence	3.0	3.0	1442.0	2622.0	2003.0	660000.0	1101772768	Orange County, CA	74115115	400159.0	224081.0	624240.0	9704 (1.55 %)	3	29.0	25.0	39.0	4	2019
15 Ensueno E	Irvine	CA	92620	11/07/2019	5019.0	Single Family Residence	4.0	3.0	2378.0	5200.0	1978.0	1105000.0	1101765658	Orange County, CA	53005335	442535.0	204821.0	647356.0	6790 (1.04 %)	3	30.0	22.0	48.0	4	2019
1353 W Gage Ave	Fullerton	CA	92833	11/07/2019	2657.0	Single Family Residence	3.0	2.0	1502.0	6784.0	1955.0	585000.0	1101739710	Orange County, CA	7225214	457083.0	57915.0	514998.0	5927 (1.15 %)	3	65.0	49.0	100.0	4	2019
1621 Port Charles Pl	Newport Beach	CA	92660	11/07/2019	11015.0	Single Family Residence	5.0	5.0	3936.0	6825.0	1968.0	2425000.0	1101745535	Orange County, CA	45812111	995745.0	819392.0	1815137.0	19356 (1.06 %)	3	49.0	31.0	90.0	4	2019
16632 Sonora St	Tustin	CA	92782	11/07/2019	4542.0	Single Family Residence	4.0	3.0	2664.0	3920.0	2006.0	1000000.0	1101782307	Orange County, CA	43449206	398560.0	445926.0	844486.0	16477 (1.95 %)	3	66.0	54.0	94.0	4	2019
3307 Tempe Dr	Huntington Beach	CA	92649	11/07/2019	3293.0	Single Family Residence	2.0	3.0	1580.0	1716.0	1980.0	725000.0	1101740315	Orange County, CA	17870614	474044.0	172376.0	646420.0	7445 (1.15 %)	3	57.0	47.0	82.0	4	2019
11 Lancewood Way	Irvine	CA	92612	11/07/2019	3361.0	Single Family Residence	3.0	2.0	1494.0	3680.0	1966.0	740000.0	1101742445	Orange County, CA	45305144	169526.0	96707.0	266233.0	2877 (1.08 %)	3	30.0	22.0	48.0	4	2019
28101 Tefir	Mission Viejo	CA	92692	11/07/2019	12852.0	Single Family Residence	5.0	6.0	5677.0	9000.0	1988.0	2829500.0	1101723166	Orange County, CA	81147119	739274.0	794568.0	1533842.0	15341 (1.00 %)	3	29.0	25.0	39.0	4	2019
19 Willowood	Laguna Hills	CA	92656	11/07/2019	3166.0	Condominium	3.0	3.0	1568.0		1985.0	697000.0	1101763171	Orange County, CA	93994919	460317.0	171683.0	632000.0	6407 (1.01 %)	3	55.0	49.0	69.0	4	2019
1741 N Pheasant St	Anaheim	CA	92806	11/07/2019	3543.0	Single Family Residence	4.0	4.0	3084.0	6068.0	1979.0	780000.0	1101853423	Orange County, CA	33913216	504989.0	230046.0	735035.0	8323 (1.13 %)	3	88.0	71.0	127.0	4	2019
557 S Wrightwood St	Orange	CA	92869	11/07/2019	4065.0	Single Family Residence	3.0	3.0	2838.0	6565.0	1975.0	895000.0	1101832471	Orange County, CA	39210210	87415.0	226671.0	314086.0	3606 (1.14 %)	3	55.0	41.0	85.0	4	2019
10076 Montecito Plz	Garden Grove	CA	92840	11/07/2019	2044.0	Single Family Residence	3.0	2.0	1268.0	2242.0	1971.0	450000.0	1101827881	Orange County, CA	8964169	21489.0	43056.0	64545.0	1147 (1.77 %)	3	76.0	57.0	122.0	4	2019
311 Walnut St	Costa Mesa	CA	92627	11/07/2019	10061.0	Single Family Residence	4.0	3.0	2588.0	8046.0	1956.0	2215000.0	1101839614	Orange County, CA	42629203	873940.0	429706.0	1303646.0	14363 (1.10 %)	3	94.0	65.0	162.0	4	2019
1734 Rim Rock Canyon Rd	Laguna Beach	CA	92651	11/07/2019	6586.0	Single Family Residence	2.0	1.0	1074.0	9476.0	1949.0	1450000.0	1101828432	Orange County, CA	64138209	912853.0	56779.0	969632.0	10798 (1.11 %)	3	69.0	50.0	112.0	4	2019
23956 Frigate Dr	Laguna Niguel	CA	92677	11/07/2019	5224.0	Single Family Residence	3.0	3.0	2621.0	5460.0	1987.0	1150000.0	1101829329	Orange County, CA	67232310	404947.0	242550.0	647497.0	6766 (1.04 %)	3	29.0	26.0	35.0	4	2019
969 Acapulco St	Laguna Beach	CA	92651	11/07/2019	5242.0	Single Family Residence	3.0	3.0	1464.0	2500.0	1972.0	1154000.0	1101835796	Orange County, CA	64446604	30087.0	60730.0	90817.0	1795 (1.97 %)	3	69.0	50.0	112.0	4	2019
83 Alberti Aisle # 337	Irvine	CA	92614	11/07/2019	2317.0	Condominium	2.0	2.0	1032.0		1987.0	510000.0	1101830774	Orange County, CA	93781398	414279.0	90621.0	504900.0	5977 (1.18 %)	3	30.0	22.0	48.0	4	2019
26701 Quail Crk Apt 240	Laguna Hills	CA	92656	11/07/2019	1635.0	Condominium	2.0	2.0	946.0		1980.0	360000.0	1101836294	Orange County, CA	93789240	86165.0	80366.0	166531.0	1726 (1.03 %)	3	55.0	49.0	69.0	4	2019
1429 E Alcove Way	Anaheim	CA	92805	11/07/2019	2630.0	Single Family Residence	3.0	2.0	1278.0	4800.0	1969.0	579000.0	1101829841	Orange County, CA	23409214	304773.0	89080.0	393853.0	8545 (2.16 %)	3	88.0	71.0	127.0	4	2019
1101 W MacArthur Blvd Unit 184	Santa Ana	CA	92707	11/07/2019	1240.0	Condominium	1.0	1.0	676.0		1970.0	273000.0	1101837820	Orange County, CA	93635184	97480.0	43266.0	140746.0	1902 (1.35 %)	3	128.0	128.0	128.0	4	2019
28265 Zurburan	Mission Viejo	CA	92692	11/07/2019	1033.0	Single Family Residence	2.0	2.0	1503.0	3478.0	1981.0	227500.0	1101838810	Orange County, CA	78613142	136869.0	129616.0	266485.0	2714 (1.01 %)	3	29.0	25.0	39.0	4	2019
1932 S Norma Ln	Anaheim	CA	92802	11/07/2019	3007.0	Single Family Residence	4.0	3.0	1872.0	8775.0	1959.0	662000.0	1101832108	Orange County, CA	9024430	319244.0	113485.0	432729.0	5220 (1.20 %)	3	88.0	71.0	127.0	4	2019
950 Arnold Dr	Placentia	CA	92870	11/07/2019	2226.0	Single Family Residence	2.0	1.0	1032.0	8820.0	1946.0	490000.0	1101825997	Orange County, CA	34414209	399717.0	39283.0	439000.0	5412 (1.23 %)	3	44.0	29.0	79.0	4	2019
12 Hyacinth	Lake Forest	CA	92630	11/07/2019	9262.0	Single Family Residence	5.0	6.0	4752.0	7829.0		2039000.0	1101829900	Orange County, CA	61056133	698648.0	1007421.0	1706069.0	18117 (1.06 %)	3	29.0	23.0	42.0	4	2019
22986 Stoneridge	Mission Viejo	CA	92692	11/07/2019	6359.0	Single Family Residence	4.0	4.0	3556.0	10209.0	2000.0	1400000.0	1101800602	Orange County, CA	78657138	881632.0	400508.0	1282140.0	12815 (0.99 %)	3	29.0	25.0	39.0	4	2019
11335 Donovan Rd	Los Alamitos	CA	90720	11/07/2019	6132.0	Single Family Residence	3.0	4.0	3640.0	7920.0	1959.0	1350000.0	1101826534	Orange County, CA	8602417	32321.0	136609.0	168930.0	2411 (1.42 %)	3	56.0	40.0	95.0	4	2019
1668 Pomona Ave	Costa Mesa	CA	92627	11/07/2019	3702.0	Condominium						815000.0	1101837273	Orange County, CA	93061813					0	94.0	65.0	162.0	0	2019
